Date,Date2,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years
1979-11-01,11/01/79,54468.12,0.86,222.4,139.87,4602,16428,9.7,1.269314945,1.388888889,1.25786802,0.718304668,1.015768725,0.89066636,
1979-12-01,12/01/79,54796.49,0.86,228.6,144.21,4602,16428,10.1,1.282995882,1.388888889,1.320812183,0.771621622,1.015768725,0.89066636,
1980-01-01,01/01/80,55074.15,1.19,230.5,143.15,4790,17701,9.9,1.29456408,2.305555556,1.340101523,0.758599509,1.098116513,1.037173438,
1980-02-01,02/01/80,55392.38,1.19,230.8,140.93,4790,17701,10.1,1.307822553,2.305555556,1.343147208,0.731326781,1.098116513,1.037173438,
1980-03-01,03/01/80,55865.29,1.19,232.2,141.03,4790,17701,10.2,1.327525486,2.305555556,1.357360406,0.732555283,1.098116513,1.037173438,
1980-04-01,04/01/80,56388.91,1.19,229.3,135.21,4790,17701,11.3,1.349341159,2.305555556,1.327918782,0.661056511,1.098116513,1.037173438,
1980-05-01,05/01/80,56788.28,1.19,226.5,130.77,4790,17701,11.4,1.365980182,2.305555556,1.299492386,0.606511057,1.098116513,1.037173438,
1980-06-01,06/01/80,57133.14,1.19,226.7,131.62,4790,17701,11.2,1.380348146,2.305555556,1.301522843,0.616953317,1.098116513,1.037173438,
1980-07-01,07/01/80,57529.97,1.19,233.8,144.1,4790,17701,11.3,1.396881345,2.305555556,1.373604061,0.77027027,1.098116513,1.037173438,
1980-08-01,08/01/80,57865.95,1.19,238.1,154.15,4790,17701,11.3,1.410879339,2.305555556,1.417258883,0.893734644,1.098116513,1.037173438,
1980-09-01,09/01/80,58147.42,1.19,240.7,159.44,4790,17701,11.7,1.422606273,2.305555556,1.443654822,0.958722359,1.098116513,1.037173438,
1980-10-01,10/01/80,58387.04,1.19,237.5,161.66,4790,17701,11.3,1.432589604,2.305555556,1.411167513,0.985995086,1.098116513,1.037173438,
1980-11-01,11/01/80,58621.59,1.19,238.2,165.37,4790,17701,11.6,1.442361702,2.305555556,1.418274112,1.031572482,1.098116513,1.037173438,
1980-12-01,12/01/80,58853.61,1.19,238.8,162.72,4790,17701,11.4,1.452028393,2.305555556,1.424365482,0.999017199,1.098116513,1.037173438,
1981-01-01,01/01/81,59034.91,1.31,235.4,160.29,5053,18991,10.9,1.459581927,2.638888889,1.389847716,0.969164619,1.213315813,1.185637012,
1981-02-01,02/01/81,59272,1.31,233.5,157.01,5053,18991,10.8,1.469459849,2.638888889,1.370558376,0.928869779,1.213315813,1.185637012,
1981-03-01,03/01/81,59625.73,1.31,231.6,154.68,5053,18991,10.8,1.484197365,2.638888889,1.351269036,0.9002457,1.213315813,1.185637012,
1981-04-01,04/01/81,60156.96,1.31,227,150.98,5053,18991,10.9,1.506330095,2.638888889,1.304568528,0.854791155,1.213315813,1.185637012,
1981-05-01,05/01/81,60575.35,1.31,230.3,153.3,5053,18991,11,1.523761552,2.638888889,1.338071066,0.883292383,1.213315813,1.185637012,
